GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US48,48,Texas,26956435,*****,20174403,17563,3221133,5524,128145,4082,1175423,3734,22248,1145,1561683,14243,673400,10221,147528,5439,525872,6743
320M300US4810180,4810180,"Abilene, TX Metro Area; Texas",168774,*****,134966,1276,13492,540,1032,185,2769,233,49,45,11840,1202,4626,583,1134,247,3492,485
320M300US4810860,4810860,"Alice, TX Micro Area; Texas",41486,*****,39442,490,268,109,124,98,171,11,33,41,1257,453,191,128,25,24,166,127
320M300US4811100,4811100,"Amarillo, TX Metro Area; Texas",260495,102,221172,1042,15362,450,1338,185,8229,273,193,42,5971,796,8230,656,1567,359,6663,580
320M300US4811380,4811380,"Andrews, TX Micro Area; Texas",17215,*****,15926,327,351,188,15,25,36,62,0,20,535,343,352,137,32,40,320,132
320M300US4811980,4811980,"Athens, TX Micro Area; Texas",79213,*****,70843,470,5381,323,643,137,515,37,91,78,778,368,962,280,135,97,827,250
320M300US4812420,4812420,"Austin-Round Rock, TX Metro Area; Texas",1942615,*****,1528195,4104,142102,1657,7837,986,102993,1377,1225,321,98624,3959,61639,2566,11096,1272,50543,2438
320M300US4813060,4813060,"Bay City, TX Micro Area; Texas",36719,*****,28199,934,3909,264,109,110,778,9,86,90,2393,785,1245,542,182,126,1063,536
320M300US4813140,4813140,"Beaumont-Port Arthur, TX Metro Area; Texas",406506,*****,283617,924,98572,754,1427,273,10276,407,137,50,5404,801,7073,832,1648,521,5425,669
320M300US4813300,4813300,"Beeville, TX Micro Area; Texas",32706,*****,28220,378,2694,217,242,203,164,84,3,5,1013,371,370,144,232,113,138,94
320M300US4813700,4813700,"Big Spring, TX Micro Area; Texas",37676,104,31245,481,2059,282,398,80,312,65,152,170,2374,415,1136,301,438,150,698,231
320M300US4814300,4814300,"Bonham, TX Micro Area; Texas",33757,*****,29734,171,2283,67,114,35,175,42,20,20,556,156,875,120,65,43,810,110
320M300US4814420,4814420,"Borger, TX Micro Area; Texas",21782,*****,19371,396,494,120,262,108,138,24,15,24,774,325,728,184,102,67,626,184
320M300US4814780,4814780,"Brenham, TX Micro Area; Texas",34544,*****,26919,240,5851,268,242,177,684,19,35,50,401,228,412,319,55,50,357,316
320M300US4815180,4815180,"Brownsville-Harlingen, TX Metro Area; Texas",418785,*****,389429,1831,2361,330,902,247,2717,211,65,56,19550,1741,3761,638,2197,575,1564,407
320M300US4815220,4815220,"Brownwood, TX Micro Area; Texas",37935,*****,34794,294,1657,147,101,55,201,66,0,27,587,227,595,198,130,127,465,161
320M300US4817780,4817780,"College Station-Bryan, TX Metro Area; Texas",243850,*****,181659,1609,27666,594,1005,396,12729,250,97,50,13975,1600,6719,890,819,232,5900,867
320M300US4818580,4818580,"Corpus Christi, TX Metro Area; Texas",447102,*****,393995,2045,15574,426,2152,445,7572,385,244,56,18735,1656,8830,960,2808,606,6022,664
320M300US4818620,4818620,"Corsicana, TX Micro Area; Texas",48177,*****,36813,732,6569,188,897,331,299,47,506,27,2135,695,958,271,85,97,873,266
320M300US4819100,4819100,"Dallas-Fort Worth-Arlington, TX Metro Area; Texas",6957123,*****,4850749,10665,1063621,3089,30359,1798,423296,1733,6834,446,383913,9460,198351,5414,39783,2475,158568,4165
320M300US4819620,4819620,"Del Rio, TX Micro Area; Texas",48862,*****,45209,493,689,253,106,88,190,70,47,65,1857,452,764,240,166,128,598,214
320M300US4820300,4820300,"Dumas, TX Micro Area; Texas",22186,*****,16984,572,829,223,118,79,1886,15,0,24,1803,498,566,227,147,114,419,178
320M300US4820580,4820580,"Eagle Pass, TX Micro Area; Texas",56830,*****,52764,673,112,91,628,212,302,239,19,26,2638,595,367,186,207,127,160,121
320M300US4820900,4820900,"El Campo, TX Micro Area; Texas",41377,*****,33682,430,5834,144,42,67,39,37,0,27,1342,412,438,238,121,118,317,174
320M300US4821340,4821340,"El Paso, TX Metro Area; Texas",837073,*****,693406,3910,29126,705,5870,730,9547,504,1297,280,80210,3608,17617,1390,5707,849,11910,1155
320M300US4823240,4823240,"Fredericksburg, TX Micro Area; Texas",25732,*****,24205,547,54,61,336,274,69,51,0,24,211,145,857,401,38,33,819,399
320M300US4823620,4823620,"Gainesville, TX Micro Area; Texas",38878,*****,36011,188,1027,148,247,95,312,48,44,53,328,134,909,224,59,68,850,208
320M300US4825820,4825820,"Hereford, TX Micro Area; Texas",19039,*****,16540,518,236,112,102,78,73,32,21,32,1203,354,864,377,160,103,704,358
320M300US4826420,4826420,"Houston-The Woodlands-Sugar Land, TX Metro Area; Texas",6482592,*****,4258148,10656,1114979,3162,26713,1945,470290,2740,3917,378,458119,10823,150426,5655,34226,3040,116200,4566
320M300US4826660,4826660,"Huntsville, TX Micro Area; Texas",84286,*****,63580,599,17526,154,261,115,888,106,10,18,1109,576,912,337,45,40,867,333
320M300US4827380,4827380,"Jacksonville, TX Micro Area; Texas",51257,*****,40972,607,7114,248,131,95,298,35,0,30,825,387,1917,482,670,383,1247,313
320M300US4828500,4828500,"Kerrville, TX Micro Area; Texas",50505,*****,46452,556,770,121,370,161,459,76,28,33,1529,549,897,200,73,84,824,197
320M300US4828660,4828660,"Killeen-Temple, TX Metro Area; Texas",426926,*****,285251,1969,85595,1514,3120,652,10819,708,3176,188,15242,1544,23723,1515,1945,350,21778,1433
320M300US4828780,4828780,"Kingsville, TX Micro Area; Texas",32435,225,28063,592,1240,140,170,102,635,62,0,27,1831,527,496,201,58,50,438,210
320M300US4829500,4829500,"Lamesa, TX Micro Area; Texas",13317,*****,10332,431,780,68,292,230,86,20,4,9,1605,399,218,109,80,67,138,85
320M300US4829700,4829700,"Laredo, TX Metro Area; Texas",266006,*****,252215,1266,1045,183,547,164,1427,135,22,25,9170,1215,1580,376,860,290,720,236
320M300US4830220,4830220,"Levelland, TX Micro Area; Texas",23377,*****,20497,354,883,81,242,125,69,46,7,14,1183,317,496,143,222,112,274,88
320M300US4830980,4830980,"Longview, TX Metro Area; Texas",216775,*****,167897,769,37538,536,897,192,2185,156,228,334,3669,633,4361,535,912,339,3449,471
320M300US4831180,4831180,"Lubbock, TX Metro Area; Texas",306392,*****,245549,2277,21653,688,2503,647,6001,342,250,57,21785,2216,8651,773,2800,503,5851,740
320M300US4831260,4831260,"Lufkin, TX Micro Area; Texas",87657,*****,67999,916,12883,396,635,457,885,84,9,18,3557,701,1689,512,207,140,1482,482
320M300US4832220,4832220,"Marshall, TX Micro Area; Texas",66431,*****,48547,499,14184,184,259,136,349,168,40,51,1888,450,1164,315,270,171,894,288
320M300US4832580,4832580,"McAllen-Edinburg-Mission, TX Metro Area; Texas",828334,*****,744392,4025,4890,500,2448,851,8186,408,129,94,60542,3873,7747,1051,5057,883,2690,593
320M300US4833260,4833260,"Midland, TX Metro Area; Texas",161268,*****,133516,1661,9755,538,771,262,2775,199,60,45,10743,1493,3648,672,734,249,2914,582
320M300US4833420,4833420,"Mineral Wells, TX Micro Area; Texas",27922,*****,25558,311,638,83,331,152,136,70,25,23,767,285,467,139,112,67,355,113
320M300US4834420,4834420,"Mount Pleasant, TX Micro Area; Texas",32592,*****,24033,613,3037,180,252,196,296,54,7,11,4308,618,659,237,228,194,431,167
320M300US4834860,4834860,"Nacogdoches, TX Micro Area; Texas",65556,*****,49786,531,11851,286,273,132,1221,145,0,30,1264,411,1161,336,212,212,949,235
320M300US4836220,4836220,"Odessa, TX Metro Area; Texas",153177,*****,130130,1558,6561,462,812,239,1520,77,2,12,9595,1430,4557,671,751,254,3806,647
320M300US4837300,4837300,"Palestine, TX Micro Area; Texas",57772,*****,42632,509,12287,156,307,112,336,71,8,14,1420,453,782,258,180,139,602,193
320M300US4837420,4837420,"Pampa, TX Micro Area; Texas",23028,*****,19510,413,1066,107,342,131,143,26,27,39,1278,387,662,153,122,70,540,142
320M300US4837580,4837580,"Paris, TX Micro Area; Texas",49626,*****,40272,215,6094,273,138,65,395,43,152,105,364,159,2211,337,132,104,2079,317
320M300US4837780,4837780,"Pecos, TX Micro Area; Texas",14438,*****,11301,464,663,124,114,111,156,33,0,20,1889,456,315,151,153,100,162,97
320M300US4838380,4838380,"Plainview, TX Micro Area; Texas",35007,*****,29772,559,1551,193,233,183,141,43,7,10,1314,350,1989,515,214,112,1775,522
320M300US4838920,4838920,"Port Lavaca, TX Micro Area; Texas",21805,*****,18841,357,606,43,9,9,1030,86,40,54,308,147,971,329,34,38,937,325
320M300US4839700,4839700,"Raymondville, TX Micro Area; Texas",21944,*****,21113,300,151,74,42,40,19,21,7,9,498,256,114,81,29,31,85,75
320M300US4840100,4840100,"Rio Grande City, TX Micro Area; Texas",63008,*****,59500,612,39,31,37,32,52,53,0,30,3088,589,292,151,192,121,100,78
320M300US4841660,4841660,"San Angelo, TX Metro Area; Texas",117895,135,101870,1226,5038,326,392,158,1544,160,38,40,6303,1073,2710,562,854,353,1856,393
320M300US4841700,4841700,"San Antonio-New Braunfels, TX Metro Area; Texas",2332345,*****,1868183,6517,156555,1729,14695,1757,55292,1029,1594,390,167588,5756,68438,2808,17020,1479,51418,2443
320M300US4843300,4843300,"Sherman-Denison, TX Metro Area; Texas",124231,*****,107803,761,7235,345,1423,291,1439,182,76,28,2606,724,3649,508,494,212,3155,499
320M300US4843660,4843660,"Snyder, TX Micro Area; Texas",17314,*****,15172,276,820,136,96,52,57,45,0,20,846,264,323,143,72,50,251,134
320M300US4844500,4844500,"Stephenville, TX Micro Area; Texas",40641,*****,37319,483,651,114,200,124,297,24,0,27,1179,463,995,231,162,99,833,225
320M300US4844860,4844860,"Sulphur Springs, TX Micro Area; Texas",35844,*****,30171,453,2434,149,144,72,245,38,16,19,2176,447,658,151,45,39,613,152
320M300US4845020,4845020,"Sweetwater, TX Micro Area; Texas",15017,*****,13207,268,829,117,89,51,55,47,2,3,672,249,163,103,48,35,115,99
320M300US4845500,4845500,"Texarkana, TX-AR Metro Area (part); Texas",93483,*****,64734,562,22777,471,759,111,960,153,40,35,1812,446,2401,422,121,112,2280,403
320M300US4846340,4846340,"Tyler, TX Metro Area; Texas",219745,*****,168400,1104,39042,602,767,178,3333,211,240,292,4543,1017,3420,692,801,295,2619,610
320M300US4846620,4846620,"Uvalde, TX Micro Area; Texas",27055,*****,24350,733,40,42,308,210,311,167,37,52,1478,497,531,481,479,479,52,60
320M300US4846900,4846900,"Vernon, TX Micro Area; Texas",13061,*****,10961,219,1215,151,136,89,69,66,0,20,417,194,263,110,41,39,222,106
320M300US4847020,4847020,"Victoria, TX Metro Area; Texas",98452,*****,84284,812,6446,563,189,127,1239,80,47,71,4212,583,2035,392,435,185,1600,322
320M300US4847380,4847380,"Waco, TX Metro Area; Texas",260659,*****,199653,1178,39268,538,1101,305,3935,292,97,92,10145,1074,6460,763,1376,358,5084,682
320M300US4848660,4848660,"Wichita Falls, TX Metro Area; Texas",151265,*****,123460,806,13664,386,1384,287,2945,227,49,43,4253,722,5510,647,700,241,4810,612
320M300US4849820,4849820,"Zapata, TX Micro Area; Texas",14335,*****,13708,361,140,203,0,20,0,20,0,20,487,310,0,20,0,20,0,20
